,CPU Name,Platform Name,Single-core Score,Multi-core Score
0,AMD Ryzen 3 2200GE with Radeon Vega Graphics 3193 MHz (2 cores),Linux,628.75,1156.5
1,AMD Ryzen 3 2200GE with Radeon Vega Graphics 3194 MHz (4 cores),Windows,1007.0,3693.0
2,AMD Ryzen 3 2200GE with Radeon Vega Graphics 3200 MHz (4 cores),Linux,946.125,2442.875
3,AMD Ryzen 3 2200GE with Radeon Vega Graphics 3200 MHz (4 cores),Windows,748.395,2442.772
4,AMD Ryzen 3 2300U 1996 MHz (2 cores),Linux,534.25,983.0
5,AMD Ryzen 3 2300U 1996 MHz (2 cores),Windows,583.0,1178.0
6,AMD Ryzen 3 2300U 1996 MHz (4 cores),Android,408.0,1864.0
7,AMD Ryzen 3 2300U 1997 MHz (2 cores),Android,731.286,1298.714
8,AMD Ryzen 3 2300U 1999 MHz (2 cores),Android,703.667,1277.0
9,AMD Ryzen 3 2300U 2000 MHz (4 cores),Linux,734.059,1837.559
10,AMD Ryzen 3 2300U 2000 MHz (4 cores),Windows,700.808,2185.82
11,AMD Ryzen 3 2300U 2465 MHz (2 cores),Android,584.0,1089.0
12,AMD Ryzen 3 2300X 2000 MHz (2 cores),Android,811.0,1555.0
13,AMD Ryzen 3 2300X 2000 MHz (4 cores),Android,797.5,2660.5
14,AMD Ryzen 3 2300X 2465 MHz (4 cores),Android,887.0,3184.0
15,AMD Ryzen 3 2300X 3400 MHz (4 cores),Linux,601.667,417.5
16,AMD Ryzen 3 2300X 3493 MHz (2 cores),Linux,766.571,1366.143
17,AMD Ryzen 3 2300X 3493 MHz (4 cores),Windows,1018.5,3191.5
18,AMD Ryzen 3 2300X 3494 MHz (4 cores),macOS,1033.5,3309.5
19,AMD Ryzen 3 2300X 3499 MHz (2 cores),Linux,797.0,1382.9
20,AMD Ryzen 3 2300X 3500 MHz (2 cores),Linux,731.0,1325.5
21,AMD Ryzen 3 2300X 3500 MHz (4 cores),Linux,1077.286,3215.143
22,AMD Ryzen 3 2300X 3500 MHz (4 cores),Windows,1001.145,3092.484
23,AMD Ryzen 3 2300X 3500 MHz (4 cores),macOS,1007.048,3225.19
24,AMD Ryzen 3 2300X 3800 MHz (4 cores),macOS,1005.0,3536.0
25,AMD Ryzen 3 2300X 3859 MHz (4 cores),Windows,1013.0,2997.0
26,AMD Ryzen 3 2300X 3893 MHz (4 cores),Windows,969.0,2668.0
27,AMD Ryzen 3 2300X 3950 MHz (4 cores),Windows,1059.75,3593.25
28,AMD Ryzen 3 2300X 3992 MHz (4 cores),Windows,1051.0,3531.0
29,AMD Ryzen 3 2300X 3993 MHz (4 cores),Windows,1008.5,3234.5
30,AMD Ryzen 3 2300X 4000 MHz (4 cores),Windows,990.0,2931.0
31,AMD Ryzen 3 2300X 4092 MHz (4 cores),Windows,1086.0,3603.0
32,AMD Ryzen 3 2300X 4093 MHz (4 cores),macOS,1074.0,3338.0
33,AMD Ryzen 3 2300X 4100 MHz (4 cores),Windows,1011.5,3054.0
34,AMD Ryzen 3 2300X 4125 MHz (4 cores),Windows,1076.0,3583.0
35,AMD Ryzen 3 2300X 4150 MHz (4 cores),Windows,1063.0,3458.5
36,AMD Ryzen 3 2300X 4192 MHz (4 cores),Windows,1044.167,3197.333
37,AMD Ryzen 3 2300X 4200 MHz (4 cores),Windows,1076.0,3531.0
38,AMD Ryzen 3 2300X 4300 MHz (4 cores),Windows,1082.5,3330.5
39,AMD Ryzen 3 2300X 4392 MHz (4 cores),Windows,1169.0,3946.0
40,AMD Ryzen 3 3200GE with Radeon Vega Graphics 3300 MHz (4 cores),Linux,1032.0,3411.0
41,AMD Ryzen 3 3200GE with Radeon Vega Graphics 3300 MHz (4 cores),Windows,837.4,2446.9
42,AMD Ryzen 3 3200GE with Radeon Vega Graphics 3993 MHz (4 cores),Windows,920.0,3240.0
43,AMD Ryzen 3 3300U with Radeon Vega Mobile Gfx 2000 MHz (2 cores),Android,485.5,946.75
44,AMD Ryzen 3 3300U with Radeon Vega Mobile Gfx 2000 MHz (3 cores),Android,557.0,1055.0
45,AMD Ryzen 3 3300U with Radeon Vega Mobile Gfx 2000 MHz (4 cores),Android,522.0,1775.5
46,AMD Ryzen 3 3300U with Radeon Vega Mobile Gfx 2095 MHz (4 cores),Android,591.5,1821.0
47,AMD Ryzen 3 3300U with Radeon Vega Mobile Gfx 2096 MHz (2 cores),Linux,506.2,882.6
48,AMD Ryzen 3 3300U with Radeon Vega Mobile Gfx 2096 MHz (4 cores),Linux,842.0,2369.0
49,AMD Ryzen 3 3300U with Radeon Vega Mobile Gfx 2100 MHz (1 cores),Windows,667.0,620.0
50,AMD Ryzen 3 3300U with Radeon Vega Mobile Gfx 2100 MHz (2 cores),Windows,546.0,915.0
51,AMD Ryzen 3 3300U with Radeon Vega Mobile Gfx 2100 MHz (4 cores),Android,892.0,2058.0
52,AMD Ryzen 3 3300U with Radeon Vega Mobile Gfx 2100 MHz (4 cores),Linux,745.604,1640.0
53,AMD Ryzen 3 3300U with Radeon Vega Mobile Gfx 2100 MHz (4 cores),Windows,665.817,2116.931
54,AMD Ryzen 3 3300U with Radeon Vega Mobile Gfx 2465 MHz (4 cores),Android,640.0,1488.0
55,AMD Ryzen 3 3350U with Radeon Vega Mobile Gfx 2100 MHz (2 cores),Linux,637.0,1021.0
56,AMD Ryzen 3 3350U with Radeon Vega Mobile Gfx 2100 MHz (4 cores),Linux,665.625,1196.75
57,AMD Ryzen 3 3350U with Radeon Vega Mobile Gfx 2100 MHz (4 cores),Windows,699.507,2065.667
58,AMD Ryzen 3 4300G 3792 MHz (2 cores),Linux,695.615,1192.128
59,AMD Ryzen 3 4300G 3799 MHz (4 cores),Linux,1122.0,3996.0
60,AMD Ryzen 3 4300G 3800 MHz (4 cores),Linux,1028.5,2543.667
61,AMD Ryzen 3 4300G 3800 MHz (4 cores),Windows,1015.667,3506.222
62,AMD Ryzen 3 4300G 3801 MHz (4 cores),Windows,1128.667,4193.238
63,AMD Ryzen 3 4300G 4104 MHz (4 cores),Linux,1190.5,4848.091
64,AMD Ryzen 3 4300G with Radeon Graphics 3800 MHz (4 cores),Linux,1079.0,3826.75
65,AMD Ryzen 3 4300G with Radeon Graphics 3800 MHz (4 cores),Windows,1085.556,3886.111
66,AMD Ryzen 3 4300G with Radeon Graphics 3801 MHz (4 cores),Windows,1099.167,4119.5
67,AMD Ryzen 3 4300G with Radeon Graphics 4100 MHz (4 cores),Windows,1179.0,4889.0
68,AMD Ryzen 3 4300G with Radeon Graphics 4104 MHz (4 cores),Linux,1139.333,3973.778
69,AMD Ryzen 3 4300GE 2000 MHz (4 cores),Android,682.0,2133.0
70,AMD Ryzen 3 4300GE 2000 MHz (8 cores),Android,771.0,2522.0
71,AMD Ryzen 3 4300GE 2465 MHz (4 cores),Android,695.5,2223.0
72,AMD Ryzen 3 4300GE 3493 MHz (2 cores),Linux,687.167,1162.667
73,AMD Ryzen 3 4300GE 3493 MHz (4 cores),Linux,1097.0,3243.0
74,AMD Ryzen 3 4300GE 3493 MHz (4 cores),Windows,1148.5,4724.5
75,AMD Ryzen 3 4300GE 3499 MHz (2 cores),Linux,684.0,1233.0
76,AMD Ryzen 3 4300GE 3500 MHz (2 cores),Linux,675.0,1244.667
77,AMD Ryzen 3 4300GE 3500 MHz (4 cores),Linux,1157.818,4588.091
78,AMD Ryzen 3 4300GE 3500 MHz (4 cores),Windows,1102.967,4347.067
79,AMD Ryzen 3 4300GE 3501 MHz (4 cores),Linux,2121.0,4844.0
80,AMD Ryzen 3 4300GE 3501 MHz (4 cores),Windows,1123.109,4464.622
81,AMD Ryzen 3 4300GE 3693 MHz (4 cores),Windows,1056.0,4482.0
82,AMD Ryzen 3 4300GE 3700 MHz (4 cores),Windows,1006.4,4232.8
83,AMD Ryzen 3 4300GE 3993 MHz (4 cores),Windows,1134.0,4709.0
84,AMD Ryzen 3 4300GE 4000 MHz (4 cores),Linux,1185.167,4848.5
85,AMD Ryzen 3 4300GE 4092 MHz (4 cores),Windows,1159.0,4801.0
86,AMD Ryzen 3 4300GE 4100 MHz (4 cores),Windows,1115.5,4367.5
87,AMD Ryzen 3 4300GE 4111 MHz (2 cores),Linux,1127.0,1909.0
88,AMD Ryzen 3 4300GE 4111 MHz (4 cores),Android,1110.0,4313.0
89,AMD Ryzen 3 4300GE 4111 MHz (4 cores),Linux,1079.837,3682.694
90,AMD Ryzen 3 4300GE 4117 MHz (4 cores),Windows,1153.5,4810.5
91,AMD Ryzen 3 4300GE 4142 MHz (4 cores),Windows,1089.0,4037.0
92,AMD Ryzen 3 4300GE 4200 MHz (4 cores),Windows,1163.0,4837.0
93,AMD Ryzen 3 4300GE 4225 MHz (4 cores),Windows,1217.0,4851.0
94,AMD Ryzen 3 4300GE 4400 MHz (4 cores),Windows,1260.0,5144.0
95,AMD Ryzen 3 4300GE 4425 MHz (4 cores),Windows,1258.333,5039.333
96,AMD Ryzen 3 4300GE 4450 MHz (4 cores),Windows,1278.5,5123.5
97,AMD Ryzen 3 4300GE 4475 MHz (4 cores),Windows,1275.0,5215.0
